"","V1","collectioncode","animal_id","scientificname","common_name_e","datelastmodified","detectedby","glatos_array","station","receiver_sn","bottom_depth","receiver_depth","transmitter_id","transmitter_codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","detection_timestamp_utc","timezone","deploy_long","deploy_lat","the_geom","yearcollected","monthcollected","daycollected","julianday","timeofday","local_area","notes","citation","unqdetecid","contact_pi","contact_poc","min_lag","passed_filter"
"37",1752,"SABMPA","SABMPA-MPA-SAB-0037","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31003","",NA,NA,"",NA,NA,2018-04-24 20:51:00,"UTC",-59.02999,46.16353,"0101000020E6100000809A5AB6D6834DC01BF5108DEE144740",2018,4,24,114,20.85,"St. Anns Bank MPA","DNA - GF22","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0037-release-A69-1602-31003","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"38",2496,"SABMPA","SABMPA-MPA-SAB-0038","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31004","",NA,NA,"",NA,NA,2018-04-24 20:51:00,"UTC",-59.02999,46.16353,"0101000020E6100000809A5AB6D6834DC01BF5108DEE144740",2018,4,24,114,20.85,"St. Anns Bank MPA","DNA - GF23","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0038-release-A69-1602-31004","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"39",2581,"SABMPA","SABMPA-MPA-SAB-0039","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31005","",NA,NA,"",NA,NA,2018-04-24 20:51:00,"UTC",-59.02999,46.16353,"0101000020E6100000809A5AB6D6834DC01BF5108DEE144740",2018,4,24,114,20.85,"St. Anns Bank MPA","DNA - GF24","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0039-release-A69-1602-31005","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"40",2582,"SABMPA","SABMPA-MPA-SAB-0040","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31006","",NA,NA,"",NA,NA,2018-04-24 20:58:00,"UTC",-59.0201,46.16597,"0101000020E6100000265305A392824DC0FE0E45813E154740",2018,4,24,114,20.9666666666667,"St. Anns Bank MPA","DNA - GF25","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0040-release-A69-1602-31006","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"41",2740,"SABMPA","SABMPA-MPA-SAB-0041","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31007","",NA,NA,"",NA,NA,2018-04-24 21:28:00,"UTC",-58.97021,46.18362,"0101000020E610000047205ED72F7C4DC01D7233DC80174740",2018,4,24,114,21.4666666666667,"St. Anns Bank MPA","DNA - GF26  Ate by Seagull on release !!","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0041-release-A69-1602-31007","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"42",2741,"SABMPA","SABMPA-MPA-SAB-0042","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31002","",NA,NA,"",NA,NA,2018-04-24 21:56:00,"UTC",-58.96119,46.2001,"0101000020E6100000029F1F46087B4DC0FDF675E09C194740",2018,4,24,114,21.9333333333333,"St. Anns Bank MPA","DNA - GF27","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0042-release-A69-1602-31002","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"43",2758,"SABMPA","SABMPA-MPA-SAB-0043","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31001","",NA,NA,"",NA,NA,2018-04-24 21:28:00,"UTC",-58.97021,46.18362,"0101000020E610000047205ED72F7C4DC01D7233DC80174740",2018,4,24,114,21.4666666666667,"St. Anns Bank MPA","DNA - GF28","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0043-release-A69-1602-31001","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"44",2769,"SABMPA","SABMPA-MPA-SAB-0044","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-31000","",NA,NA,"",NA,NA,2018-04-24 22:12:00,"UTC",-58.95658,46.20382,"0101000020E6100000FC00A436717A4DC0A72215C6161A4740",2018,4,24,114,22.2,"St. Anns Bank MPA","DNA - GF29","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0044-release-A69-1602-31000","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"45",2881,"SABMPA","SABMPA-MPA-SAB-0045","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30999","",NA,NA,"",NA,NA,2018-04-24 22:12:00,"UTC",-58.95658,46.20382,"0101000020E6100000FC00A436717A4DC0A72215C6161A4740",2018,4,24,114,22.2,"St. Anns Bank MPA","DNA - GF30","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0045-release-A69-1602-30999","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"46",2913,"SABMPA","SABMPA-MPA-SAB-0046","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30998","",NA,NA,"",NA,NA,2018-04-24 22:12:00,"UTC",-58.95658,46.20382,"0101000020E6100000FC00A436717A4DC0A72215C6161A4740",2018,4,24,114,22.2,"St. Anns Bank MPA","DNA - GF31","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0046-release-A69-1602-30998","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"47",2972,"SABMPA","SABMPA-MPA-SAB-0047","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30997","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-58.94616,46.22429,"0101000020E6100000456458C51B794DC0F168E388B51C4740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF32","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0047-release-A69-1602-30997","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"48",2973,"SABMPA","SABMPA-MPA-SAB-0048","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30996","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-58.94616,46.22429,"0101000020E6100000456458C51B794DC0F168E388B51C4740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF33","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0048-release-A69-1602-30996","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"49",2981,"SABMPA","SABMPA-MPA-SAB-0049","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30995","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-58.94616,46.22429,"0101000020E6100000456458C51B794DC0F168E388B51C4740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF34","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0049-release-A69-1602-30995","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"50",2993,"SABMPA","SABMPA-MPA-SAB-0050","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30994","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-58.94616,46.22429,"0101000020E6100000456458C51B794DC0F168E388B51C4740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF35","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0050-release-A69-1602-30994","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"51",2996,"SABMPA","SABMPA-MPA-SAB-0051","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30993","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-58.94616,46.22429,"0101000020E6100000456458C51B794DC0F168E388B51C4740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF36","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0051-release-A69-1602-30993","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"52",2997,"SABMPA","SABMPA-MPA-SAB-0052","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30992","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-58.94616,46.22429,"0101000020E6100000456458C51B794DC0F168E388B51C4740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF37","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0052-release-A69-1602-30992","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"53",3212,"SABMPA","SABMPA-MPA-SAB-0053","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30991","",NA,NA,"",NA,NA,2018-04-24 22:35:00,"UTC",-59.0296,46.1596,"0101000020E610000016FBCBEEC9834DC08638D6C56D144740",2018,4,24,114,22.5833333333333,"St. Anns Bank MPA","DNA - GF38","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0053-release-A69-1602-30991","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"54",3464,"SABMPA","SABMPA-MPA-SAB-0054","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30990","",NA,NA,"",NA,NA,2018-04-25 02:47:00,"UTC",-58.9755,46.18439,"0101000020E6100000BE9F1A2FDD7C4DC0CFDA6D179A174740",2018,4,25,115,2.78333333333333,"St. Anns Bank MPA","DNA - GF39","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0054-release-A69-1602-30990","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"55",3741,"SABMPA","SABMPA-MPA-SAB-0055","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30988","",NA,NA,"",NA,NA,2018-04-25 03:55:00,"UTC",-58.95961,46.20277,"0101000020E610000010751F80D47A4DC0124E0B5EF4194740",2018,4,25,115,3.91666666666667,"St. Anns Bank MPA","DNA - GF40","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0055-release-A69-1602-30988","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"56",3934,"SABMPA","SABMPA-MPA-SAB-0056","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30987","",NA,NA,"",NA,NA,2018-04-25 03:55:00,"UTC",-58.95961,46.20277,"0101000020E610000010751F80D47A4DC0124E0B5EF4194740",2018,4,25,115,3.91666666666667,"St. Anns Bank MPA","DNA - GF41","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0056-release-A69-1602-30987","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"57",3936,"SABMPA","SABMPA-MPA-SAB-0057","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30989","",NA,NA,"",NA,NA,2018-04-25 03:55:00,"UTC",-58.95961,46.20277,"0101000020E610000010751F80D47A4DC0124E0B5EF4194740",2018,4,25,115,3.91666666666667,"St. Anns Bank MPA","DNA - GF42","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0057-release-A69-1602-30989","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"58",4004,"SABMPA","SABMPA-MPA-SAB-0058","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30986","",NA,NA,"",NA,NA,2018-04-25 12:00:00,"UTC",-59.02524,46.1627,"0101000020E6100000884677103B834DC09487855AD3144740",2018,4,25,115,12,"St. Anns Bank MPA","DNA - GF43","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0058-release-A69-1602-30986","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"59",4082,"SABMPA","SABMPA-MPA-SAB-0059","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30985","",NA,NA,"",NA,NA,2018-04-25 12:00:00,"UTC",-59.02524,46.1627,"0101000020E6100000884677103B834DC09487855AD3144740",2018,4,25,115,12,"St. Anns Bank MPA","DNA - GF44","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0059-release-A69-1602-30985","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"60",4371,"SABMPA","SABMPA-MPA-SAB-0060","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30984","",NA,NA,"",NA,NA,2018-04-25 12:00:00,"UTC",-59.02524,46.1627,"0101000020E6100000884677103B834DC09487855AD3144740",2018,4,25,115,12,"St. Anns Bank MPA","DNA - GF45","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0060-release-A69-1602-30984","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"61",4395,"SABMPA","SABMPA-MPA-SAB-0061-2018-12-07","Gadus morhua","Atlantic cod",2021-10-19,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30983","",NA,NA,"",NA,NA,2018-12-07 10:35:00,"UTC",-58.93333,46.2,"0101000020E61000001630815B77774DC09A99999999194740",2018,12,7,341,10.5833333333333,"St. Anns Bank MPA","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0061-2018-12-07-release-A69-1602-30983","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"62",4396,"SABMPA","SABMPA-MPA-SAB-0062-2018-12-07","Gadus morhua","Atlantic cod",2021-10-19,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30978","",NA,NA,"",NA,NA,2018-12-07 11:10:00,"UTC",-58.93333,46.2,"0101000020E61000001630815B77774DC09A99999999194740",2018,12,7,341,11.1666666666667,"St. Anns Bank MPA","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0062-2018-12-07-release-A69-1602-30978","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"63",4397,"SABMPA","SABMPA-MPA-SAB-0063-2018-12-07","Gadus morhua","Atlantic cod",2021-10-19,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30979","",NA,NA,"",NA,NA,2018-12-07 11:12:00,"UTC",-58.95,46.2,"0101000020E61000009A99999999794DC09A99999999194740",2018,12,7,341,11.2,"St. Anns Bank MPA","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0063-2018-12-07-release-A69-1602-30979","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"64",4398,"SABMPA","SABMPA-MPA-SAB-0064-2018-12-07","Gadus morhua","Atlantic cod",2021-10-19,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30980","",NA,NA,"",NA,NA,2018-12-07 11:15:00,"UTC",-58.95,46.2,"0101000020E61000009A99999999794DC09A99999999194740",2018,12,7,341,11.25,"St. Anns Bank MPA","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0064-2018-12-07-release-A69-1602-30980","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"65",4399,"SABMPA","SABMPA-MPA-SAB-0065-2018-12-07","Gadus morhua","Atlantic cod",2021-10-19,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1602-30981","",NA,NA,"",NA,NA,2018-12-07 11:20:00,"UTC",-58.95,46.2,"0101000020E61000009A99999999794DC09A99999999194740",2018,12,7,341,11.3333333333333,"St. Anns Bank MPA","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0065-2018-12-07-release-A69-1602-30981","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"66",4400,"SABMPA","SABMPA-OTN0184-2018-04-23","Chionoecetes opilio","Snow crab",2023-02-13,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-50684","",NA,NA,"",NA,NA,2018-04-23 21:19:00,"UTC",-59.32011,45.99266,"0101000020E6100000B08F4E5DF9A84DC010069E7B0FFF4640",2018,4,23,113,21.3166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-OTN0184-2018-04-23-release-A69-1601-50684","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"67",4401,"SABMPA","SABMPA-OTN0185-2018-04-23","Chionoecetes opilio","Snow crab",2023-02-13,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-50685","",NA,NA,"",NA,NA,2018-04-23 21:19:00,"UTC",-59.32011,45.99266,"0101000020E6100000B08F4E5DF9A84DC010069E7B0FFF4640",2018,4,23,113,21.3166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-OTN0185-2018-04-23-release-A69-1601-50685","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"68",4404,"SABMPA","SABMPA-OTN0383-2016-06-12","Chionoecetes opilio","Snow crab",2023-02-06,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-59767","",NA,NA,"",NA,NA,2016-06-12 19:07:00,"UTC",-59.15766,45.9762,"0101000020E610000095F1EF332E944DC0772D211FF4FC4640",2016,6,12,164,19.1166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-OTN0383-2016-06-12-release-A69-1601-59767","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"69",4412,"SABMPA","SABMPA-SCF0013-2018-04-23","Chionoecetes opilio","Snow crab",2023-02-13,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1602-26624","",NA,NA,"",NA,NA,2018-04-23 21:19:00,"UTC",-59.32011,45.99266,"0101000020E6100000B08F4E5DF9A84DC010069E7B0FFF4640",2018,4,23,113,21.3166666666667,"Southern St.Anns Bank","eggC-4, eggS-4","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-SCF0013-2018-04-23-release-A69-1602-26624","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
