SPECCD_ID,APHIA_ID,COMM,SPEC
482,158576,,KAUPICHTHYS HYOPROROIDES
483,158873,,LESTROLEPIS INTERMEDIA
484,158874,,PARALEPIS ELONGATA
485,125430,,MURAENESOCIDAE
486,271244,PARAXENOMYSTAX,XENOMYSTAX
487,125675,,LESTIDIOPS
488,126339,EVERMANELLA,EVERMANNELLA INDICA
489,126348,,SCOPELOSAURUS ARGENTEUS
490,157880,,ALDROVANDIA GRACILIS
492,126350,,SCOPELOSAURUS SMITHII
493,127271,,MELAMPHAES TYPHLOPS
494,127276,INCL SCOPELOBERYX NIGRESCENS,SCOPELOBERYX ROBUSTUS
495,126785,,PTERYCOMBUS BRAMA
496,126847,DRACONETTA,CENTRODRACO ACANTHOPOMA
497,159805,,PRISTIPOMOIDES AQUILONARIS
498,159344,YELLOWFIN BASS,ANTHIAS NICHOLSI
499,158646,,OPHICHTHUS PUNCTICEPS
500,126160,SEASNAIL UNIDENTIFIED,LIPARIS
501,127214,LUMPFISH,CYCLOPTERUS LUMPUS
502,127217,ATLANTIC SPINY LUMPSUCKER,EUMICROTREMUS SPINOSUS
503,159524,ATLANTIC SEASNAIL,LIPARIS ATLANTICUS
504,127219,STRIPED SEASNAIL,LIPARIS LIPARIS
505,127218,"SEASNAIL,GELATINOUS",LIPARIS FABRICII
506,154825,GREENLAND SEASNAIL,LIPARIS TUNICATUS
507,146774,LONGFIN SEASNAIL,CAREPROCTUS LONGIPINNIS
508,159528,INQUILINE SEASNAIL,LIPARIS INQUILINUS
509,127215,LEATHERFIN LUMPSUCKER,EUMICROTREMUS DERJUGINI
510,158782,TOAD FISH,OPSANUS TAU
511,159530,BLACKSNOUT SEASNAIL,PARALIPARIS COPEI
512,159526,"SEASNAIL,DUSKY",LIPARIS GIBBUS
513,159525,GULF SEA SNAIL,LIPARIS COHENI
514,125590,"LUMPFISHES,SEASNAILS",CYCLOPTERIDAE
515,126156,SEA TADPOLE,CAREPROCTUS
516,126070,,SERRANUS
517,126347,,AHLIESAURUS BERRYI
518,127318,INCL ARISTOSTOMIAS PHOTODACTYLUS,ARISTOSTOMIAS LUNIFER
519,158842,,ARISTOSTOMIAS POLYDACTYLUS
520,127212,SEA TADPOLE,CAREPROCTUS REINHARDTI
521,275012,,ASTRONESTHES CYANEUS
522,127324,,ASTRONESTHES LEUCOPOGON
523,127328,,ASTRONESTHES NIGER
524,275036,SIMILIS,ASTRONESTHES SIMILUS
525,275048,,BATHOPHILUS PROXIMUS
526,126721,BATHYLAGUS,MELANOLAGUS BERICOIDES
527,126365,,BENTHALBELLA INFANS
528,126096,,BENTHODESMUS
529,126582,,BOLINICHTHYS INDICUS
530,125796,GAPPER,CHAUNAX
531,126037,,CUBICEPS
532,126990,,CUBICEPS GRACILIS
533,126337,,COCCORELLA ATLANTICA
534,159423,,CUBICEPS CAPENSIS
535,158887,,DIAPHUS FRAGILIS
536,126592,,DIAPHUS HOLTI
537,158892,,DIAPHUS ROEI
538,127292,,DIPLOPHOS TAENIA
539,712448,DOLICHOPTERYX,DOLICHOPTEROIDES BINOCULARIS
540,158894,,DIAPHUS TAANINGI
541,127340,,ECHIOSTOMA BARBATUM
542,158850,,EUSTOMIAS BIBULBOSUS
543,158853,,EUSTOMIAS DUBIUS
544,127342,,EUSTOMIAS FILIFER
545,127347,,EUSTOMIAS OBSCURUS
546,127348,,EUSTOMIAS SCHMIDTI
547,127350,,EUSTOMIAS TETRANEMA
548,126189,ANGLEMOUTHS,GONOSTOMA
549,126607,,LAMPADENA CHAVESI
550,126616,,LAMPANYCTUS LINEATUS
551,158897,,LAMPANYCTUS NOBILIS
552,125826,,LEPIDOPHANES
553,126353,,LESTIDIOPS AFFINIS
554,125801,,LINOPHRYNE
555,126523,LACEPEDEI,LOPHOTUS LACEPEDE
556,127378,LONGSPINE SNIPEFISH; MACRORHAMPHOSUS,MACRORAMPHOSUS SCOLOPAX
557,127270,,MELAMPHAES SUBORBITALIS
558,125599,MELAMPHAEIDAE,MELAMPHAIDAE
559,1525496,MYCTOPHUM,DASYSCOPELUS SELENOPS
561,126728,,NANSENIA OBLITA
562,126305,,NEMICHTHYS CURVIROSTRIS
563,159713,,NEOEPINNULA ORIENTALIS
564,126733,,OPISTHOPROCTUS SOLEATUS
565,125678,BARRACUDINA,PARALEPIS
566,126217,,PHOTONECTES
567,158579,,NEOCONGER
568,158905,,POECILOPSETTA
569,126182,,POROMITRA
570,126368,,SCOPELARCHUS MICHAELSARSI
571,126184,,SCOPELOGADUS
572,125672,,SCOPELOSAURUS
573,105921,,SQUALIOLUS LATICAUDUS
574,127375,,STOMIAS BREVIBARBATUS
575,126526,,STYLEPHORUS CHORDATUS
576,159584,BLACKMOUTH BASS; BELLA,SYNAGROPS BELLUS
577,127421,,ZENION HOLOLEPIS
578,125954,,CHAETODON
579,126283,BANDTOOTH CONGER,ARIOSOMA BALEARICUM
580,126165,,PERISTEDION
581,1526187,BATHYCLUPEA,NEOBATHYCLUPEA ARGENTEA
582,159704,,EPIGONUS OCCIDENTALIS
584,125908,,ACANTHURUS
585,126845,,CORYPHAENA EQUISELIS
586,159609,SEAWEED BLENNY,PARABLENNIUS MARMOREUS
587,159706,,EPIGONUS PANDIONIS
588,126349,,SCOPELOSAURUS LEPIDUS
589,105893,CHOCOLATE SKATE; INCL RAJA BIGELOWI,RAJELLA BIGELOWI
590,125516,SAND LANCES,AMMODYTIDAE
591,158547,,BREVIRAJA SPINOSA
592,368408,INCL SHARK & CHONDRICHTHYES; SHARK,SELACHII
593,125442,GREENEYES,CHLOROPHTHALMIDAE
594,126681,"SMOOTHHEAD,AGASSIZ'S",ALEPOCEPHALUS AGASSIZII
595,127425,RED DORY,CYTTOPSIS ROSEA
596,126687,BIGEYE SMOOTH-HEAD,BAJACALIFORNIA MEGALOPS
597,125519,,BLENNIIDAE
598,125575,EELPOUTS,ZOARCIDAE
599,159587,AMERICAN SAND LANCE,AMMODYTES AMERICANUS
600,158562,AMERICAN EEL,ANGUILLA ROSTRATA
601,126327,"SNUBNOSE EEL, SLIME EEL",SIMENCHELYS PARASITICA
602,126328,GRAY'S CUTTHROAT EEL; KAUPI,SYNAPHOBRANCHUS KAUPII
603,159258,WOLF EELPOUT; VERRILLI,LYCENCHELYS VERRILLII
604,126306,SNIPE EEL,NEMICHTHYS SCOLOPACEUS
606,158583,GREEN MORAY,GYMNOTHORAX FUNEBRIS
607,126292,DUCKBILL OCEANIC EEL,NESSORHAMPHUS INGOLFIANUS
608,158566,CONGER EEL,CONGER OCEANICUS
609,158644,SNAKE EEL,OPHICHTHUS CRUENTIFER
610,151520,NORTHERN SAND LANCE,AMMODYTES DUBIUS
611,125909,SAND LANCE,AMMODYTES
612,126291,,DERICHTHYS SERPENTINUS
613,126319,STOUT SAWPALATE; BEANI,SERRIVOMER BEANII
614,127165,PELICAN GULPER,EURYPHARYNX PELECANOIDES
615,158559,BACKFIN TAPIRFISH,LIPOGENYS GILLII
616,127096,FISH DOCTOR; GYMNELIS,GYMNELUS VIRIDIS
617,159257,COMMON WOLF EEL,LYCENCHELYS PAXILLUS
618,127101,SARS WOLF EEL; SARSI,LYCENCHELYS SARSII
619,127117,"EELPOUT,NEWFOUNDLAND; INCL LYCODES ATLANTICUS; TERRAENOVA",LYCODES TERRAENOVAE
620,127107,LAVAL'S EELPOUT,LYCODES LAVALAEI
621,126996,ROCK GUNNEL EEL,PHOLIS GUNNELLUS
622,154675,SNAKE BLENNY; LUMPRETAEFORMIS,LUMPENUS LAMPRETAEFORMIS
623,127072,DAUBED SHANNY; LUMPENUS,LEPTOCLINUS MACULATUS
624,159819,ARCTIC SHANNY,STICHAEUS PUNCTATUS
625,159821,RADIATED SHANNY,ULVARIA SUBBIFURCATA
626,159817,4-LINE SNAKE BLENNY,EUMESOGRAMMUS PRAECISUS
627,127110,PALE EELPOUT,LYCODES PALLIDUS
628,127111,POLAR EELPOUT,LYCODES POLARIS
629,127071,YARRELL'S BLENNY; CHIROLOPHUS,CHIROLOPHIS ASCANII
630,159675,WRYMOUTH,CRYPTACANTHODES MACULATUS
631,127073,SLENDER EELBLENNY,LUMPENUS FABRICII
632,127070,STOUT EELBLENNY; LUMPENUS,ANISARCHUS MEDIUS
633,159846,BANDED GUNNEL,PHOLIS FASCIATA
634,10295,UNIDENTIFIED EELS; ANGUILLOIDEI,ANGUILLIFORMES
635,125522,DRAGONETS,CALLIONYMIDAE
636,11014,PERCHLIKE FISHES,PERCIFORMES
637,276339,SPOTFIN DRAGONET; AGASSIZI,FOETOREPUS AGASSIZII
638,126320,BREVIDENTATUS,SERRIVOMER LANCEOLATOIDES
639,125566,PRICKLEBACKS,STICHAEIDAE
640,159267,OCEAN POUT,ZOARCES AMERICANUS
641,127112,ARCTIC EELPOUT,LYCODES RETICULATUS
642,126104,EELPOUTS,LYCODES
643,127103,VACHON'S EELPOUT; ESMARKI,LYCODES ESMARKII
644,1517542,"BLENNIES,SHANNIES,GUNNELS; BLENNIOIDEI",BLENNIIFORMES
646,127120,ATLANTIC SOFT POUT,MELANOSTIGMA ATLANTICUM
647,127118,SHORTTAILED EELPOUT VAHL,LYCODES VAHLII
648,125425,EEL-UNIDENTIFIED,ANGUILLIDAE
649,125508,CUSK-EELS INCLUDES BROTULIDAE; REPLACES OPHIDIOIDEI; REPLACES OPHIDIIFORMES; OPHIDIIDAE,ARGENTINIDAE
650,158762,FAWN CUSK EEL,LEPOPHIDIUM PROFUNDORUM
651,126281,EUROPEAN EEL,ANGUILLA ANGUILLA
652,151751,,PERCOIDEI
653,159626,CORAL DRAGONET,CALLIONYMUS BAIRDI
654,158768,MOONEYE CUSK-EEL,OPHIDION SELENOPS
655,125503,,BYTHITIDAE
656,125650,,SERRIVOMER
657,125930,,CALLIONYMUS
658,159615,CALLIONYMUS,DIPLOGRAMMUS PAUCIRADIATUS
659,125640,,FACCIOLELLA
661,1019849,RED BARBIER; HEMANTHIAS,BALDWINELLA VIVANUS
662,125501,SPINY EELS; INCL TILUROPSIS SP.,NOTACANTHIDAE
663,159349,,DIPLECTRUM
664,126069,SEA BASSES,MYCTEROPERCA
665,154229,"DRAGONFISHES,SMOOTH; MELANOSTOMIATIDAE  STOMIATIDAE",MELANOSTOMIINAE
666,158871,,LESTIDIUM ATLANTICUM
667,127304,,VINCIGUERRIA POWERIAE
668,126067,,ANTHIAS
669,125438,,ATHERINIDAE
670,158855,,EUSTOMIAS FISSIBARBIS
671,127302,,VINCIGUERRIA ATTENUATA
672,126170,,PONTINUS
673,1486846,SYNAGROPS SPINOSA,PARASCOMBROPS SPINOSUS
674,126361,,PARALEPIS COREGONOIDES
675,159444,PUGNOSE PIPEFISH; SYNGNATHUS,BRYX DUNCKERI
676,159454,BULL PIPEFISH,SYNGNATHUS SPRINGERI
677,126857,,EPIGONUS DENTICULATUS
678,159279,BALLYHOO,HEMIRAMPHUS BRASILIENSIS
679,127316,,VALENCIENNELLUS TRIPUNCTULATUS
680,10306,STOMIATIFORMES  ORDER,STOMIIFORMES
681,126367,,SCOPELARCHUS ANALIS
682,159265,FOURWING FLYING FISH,HIRUNDICHTHYS AFFINIS
683,125496,,ONEIRODIDAE
684,127303,,VINCIGUERRIA NIMBARIA
685,159590,TWOSPOT CARDINALFISH,APOGON PSEUDOMACULATUS
686,126181,,MELAMPHAES
687,154158,,CERATIOIDEI
688,126354,,LESTIDIOPS JAYAKARI
689,125571,CUTLASSFISHES,TRICHIURIDAE
690,125727,,BREGMACEROS
691,126362,,SUDIS HYALINA
692,125608,PORCUPINEFISHES,DIODONTIDAE
693,159360,LARGESCALE TONGUEFISH,SYMPHURUS MINOR
694,125495,BATFISHES,OGCOCEPHALIDAE
695,159350,SAND PERCH,DIPLECTRUM FORMOSUM
696,127282,,CYCLOTHONE ACCLINIDENS
697,125518,CARDINAL FISHES,APOGONIDAE
698,475101,SNOWY GROUPER; EPINEPHELUS,HYPORTHODUS NIVEATUS
699,126998,ATLANTIC WRECKFISH,POLYPRION AMERICANUS
700,127306,"HATCHETFISH, ATLANTIC SILVER",ARGYROPELECUS ACULEATUS
701,159828,BUTTERFISH,PEPRILUS TRIACANTHUS
702,159451,NORTHERN PIPEFISH,SYNGNATHUS FUSCUS
703,367332,PELAGIC PIPEFISH,SYNGNATHUS PELAGICUS
704,127426,AMERICAN JOHN DORY; OCELLATA,ZENOPSIS CONCHIFER
705,127308,,ARGYROPELECUS GIGAS
706,127309,,ARGYROPELECUS HEMIGYMNUS
707,158836,,ARGYROPELECUS LYCHNUS
708,158840,"HATCHETFISH,SLOPE",POLYIPNUS CLARUS
709,127314,TRANSPARENT HATCHETFISH,STERNOPTYX DIAPHANA
710,126333,LONGNOSE LANCETFISH,ALEPISAURUS FEROX
711,126359,SHORT BARRACUDINA; INCL PARALEPIS ATLANTICA KROYER; PARALEPIS,MAGNISUDIS ATLANTICA
712,126352,WHITE BARRACUDINA; NOTOLEPIS RISSOI,ARCTOZENUS RISSO
713,125447,"BARRACUDINA,UNIDENTIFIED",PARALEPIDIDAE
714,127087,SIMONYI'S FROSTFISH,BENTHODESMUS SIMONYI
715,125561,SEA BASSES,SERRANIDAE
716,127334,STRAIGHTLINE DRAGONFISH,BOROSTOMIAS ANTARCTICUS
717,158731,TORPEDO DRAGONFISH,GRAMMATOSTOMIAS DENTATUS
718,127359,BLUENOSE DRAGONFISH; INCL MELANOSTOMIAS BARTONBEANI; SPILORHYNCHUS,MELANOSTOMIAS BARTONBEANI
719,270079,,ODONTOSTOMIAS
720,126392,"ATLANTIC SAURY,NEEDLEFISH",SCOMBERESOX SAURUS
721,127377,THREELIGHT DRAGONFISH,TRIGONOLAMPA MIRICEPS
722,127333,METALLICUS,BATHOPHILUS VAILLANTI
723,127354,RIBBON SAWTAILFISH,IDIACANTHUS FASCIOLA
724,126682,BAIRDS SMOOTHEAD,ALEPOCEPHALUS BAIRDII
725,126714,ATLANTIC GYMNAST,XENODERMICHTHYS COPEI
726,126744,,MENTODUS ROSTRATUS
728,127258,,SETARCHES GUENTHERI
729,272087,LOWEI,OMOSUDIS LOWII
730,127405,OCEAN SUNFISH,MOLA MOLA
731,126332,SHORTNOSE LANCETFISH,ALEPISAURUS BREVIROSTRIS
732,126334,DAGGERTOOTH,ANOTOPTERUS PHARAO
733,125666,,EVERMANNELLA
734,159261,SPOTFIN FLYINGFISH; CYPSELURUS,CHEILOPOGON FURCATUS
735,126382,ATLANTIC FLYINGFISH; CYPSELURUS,CHEILOPOGON HETERURUS
736,126386,BLACKWING FLYINGFISH; RONDELETTI,HIRUNDICHTHYS RONDELETII
737,125696,COMMON HALFBEAK,HYPORHAMPHUS
738,159296,BANDED KILLIFISH,FUNDULUS DIAPHANUS
739,126645,SHORTSPINE TAPIRFISH,POLYACANTHONOTUS RISSOANUS
740,126643,SPINY EEL,NOTACANTHUS CHEMNITZII
741,125603,UNIDENTIFIED HATCHETFISH,STERNOPTYCHIDAE
742,126558,ATLANTIC BATFISH,DIBRANCHUS ATLANTICUS
743,126832,AMERICAN BARRELFISH,HYPEROGLYPHE PERCIFORMIS
744,127163,STOUT BEARD FISH,POLYMIXIA NOBILIS
745,125601,ANGLEMOUTH,GONOSTOMATIDAE
746,158934,NORTHERN PUFFER,SPHOEROIDES MACULATUS
747,126846,MAHI-MAHI,CORYPHAENA HIPPURUS
748,125452,FLYING FISH UNIDENTIFIED,EXOCOETIDAE
749,126698,SLICKHEAD; SALMONEA,CONOCARA SALMONEUM
750,126994,CARDINALFISH,HOWELLA BRODIEI
751,159556,HIGHFIN SCORPIONFISH,PONTINUS RATHBUNI
752,127299,MAULS ANGLEMOUTH,POLLICHTHYS MAULI
753,127283,ALBINO ANGLEMOUTH,CYCLOTHONE ALBA
754,127284,BRAUERS ANGLEMOUTH,CYCLOTHONE BRAUERI
755,126187,ANGLEMOUTH,CYCLOTHONE
756,126220,DRAGONFISH UNIDENTIFIED,STOMIAS
757,158987,LITTLE MORID,PHYSICULUS FULVUS
758,158900,DOFLEINS LANTERNFISH,LOBIANCHIA DOFLEINI
759,126227,PIPEFISH UNIDEN.,SYNGNATHUS
760,126556,JOHNSONI,MELANOCETUS JOHNSONII
761,126560,,CHAENOPHRYNE LONGICEPS
762,126562,,DOLOPICHTHYS ALLECTOR
763,126578,,LASIOGNATHUS BEEBEI
764,126566,,LEPTACANTHICHTHYS GRACILISPINIS
765,126567,LOPHODOLUS,LOPHODOLOS ACANTHOGNATHUS
766,126568,,MICROLOPHICHTHYS MICROLOPHUS
767,126572,,ONEIRODES ESCHRICHTII
768,125811,INCL ONERIDES SP,ONEIRODES
769,159306,MUMMICHOG,FUNDULUS HETEROCLITUS
770,159228,ATLANTIC SILVERSIDE,MENIDIA MENIDIA
771,158923,BEARDFISH,POLYMIXIA LOWEI
772,126398,SPINYFIN,DIRETMUS ARGENTEUS
773,126401,DARWINI,GEPHYROBERYX DARWINII
774,126393,OGREFISH,ANOPLOGASTER CORNUTA
775,126394,ALFONSIN A CASTA LARGA,BERYX DECADACTYLUS
776,126395,ALFONSIN A CASTA,BERYX SPLENDENS
777,127420,THORNY TINSELFISH,GRAMMICOLEPIS BRACHIUSCULUS
778,126522,OPAH,LAMPRIS GUTTATUS
779,159445,LINED SEAHORSE,HIPPOCAMPUS ERECTUS
780,159440,BLUESPOTTED CORNETFISH,FISTULARIA TABACARIA
781,159589,FLUMEFISH; INCL APOGON SELLICAUDE,APOGON MACULATUS
783,126995,SHERBORNS CARDINALFISH,HOWELLA SHERBORNI
784,127085,BLACK SCABBARDFISH,APHANOPUS CARBO
785,159592,SILVER-RAG,ARIOMMA BONDI
786,126833,CORNISH BLACKFISH,SCHEDOPHILUS MEDUSOPHAGUS
787,126831,BLACK RUFF,CENTROLOPHUS NIGER
788,126991,MAN-OF-WAR FISH,NOMEUS GRONOVII
789,126992,SILVER DRIFTFISH,PSENES MACULATUS
790,127079,BIGEYE SQUARETAIL,TETRAGONURUS ATLANTICUS
791,127080,SMALLEYE SQUARETAIL,TETRAGONURUS CUVIERI
792,127414,OCEANIC PUFFER,LAGOCEPHALUS LAGOCEPHALUS
793,159488,STRIPED BURRFISH; SCHOEPFI,CHILOMYCTERUS SCHOEPFII
794,158931,TRUNKFISH,LACTOPHRYS TRIGONUS
795,127278,BEANS BLUEBACK,SCOPELOGADUS BEANII
796,127275,,SCOPELOBERYX OPISTHOPTERUS
797,127274,,POROMITRA MEGALOPS
798,127268,,MELAMPHAES MICROPS
799,127272,,POROMITRA CAPITO
800,127273,,POROMITRA CRASSICEPS
801,158884,SNAKEFISH,TRACHINOCEPHALUS MYOPS
802,10322,BERYCOID FISH,BERYCIFORMES
803,127006,COBIA,RACHYCENTRON CANADUM
804,125537,"GOBIES,UNIDENTIFIED",GOBIIDAE
805,126113,TONGUEFISH,SYMPHURUS
806,127232,FLYING GURNARD,DACTYLOPTERUS VOLITANS
807,272117,SHORTJAW LIZARDFISH,SAURIDA NORMANI
808,126373,RED LIZARDFISH,SYNODUS SYNODUS
809,158932,SMOOTH TRUNKFISH,LACTOPHRYS TRIQUETER
810,316266,PIPEHORSE,AMPHELIKTURUS DENDRITICUS
811,10309,,MYCTOPHIFORMES
812,125686,,SYNODUS
813,159591,,ARIOMMA
814,126369,,BATHYSAURUS FEROX
815,125711,,EUTAENIOPHORUS
816,159358,TONGUE FISH,SYMPHURUS DIOMEDEANUS
817,126212,,LEPTOSTOMIAS
818,127319,,ARISTOSTOMIAS TITTMANNI
819,154693,LOOSEJAWS; MALACOSTEIDAE,MALACOSTEINAE
820,159424,,CUBICEPS PAUCIRADIATUS
821,125548,DRIFTFISHES,NOMEIDAE
822,126993,,PSENES PELLUCIDUS
823,272206,,SARGOCENTRON BULLISI
824,159834,,BENTHODESMUS TENUIS
825,158736,,STOMIAS AFFINIS
826,127399,OCEAN TRIGGERFISH,CANTHIDERMIS SUFFLAMEN
827,126241,PUFFER; INCL HOLOCANTHUS SP.,SPHOEROIDES
828,282365,ROUGHTONGUE BASS; HOLANTHIAS,PRONOTOGRAMMUS MARTINICENSIS
829,158569,MARGINTAIL CONGER,PARACONGER CAUDILIMBATUS
830,127014,WAHOO,ACANTHOCYBIUM SOLANDRI
831,217740,MACCLELLANDI,BREGMACEROS MCCLELLANDI
832,158757,CARRIBBEA,SAURIDA CARIBBAEA
833,158756,"LIZARDFISH,LARGESCALE",SAURIDA BRASILIENSIS
834,584793,TERES,ETRUMEUS SADINA
835,712905,BLACK MARLIN; MAKAIRA,ISTIOMPAX INDICA
836,275522,,ANCHOA LAMPROTAENIA
837,157878,,ALBULA
838,158620,,GORDIICHTHYS LEIBYI
839,275481,,LETHARCHUS ALICULATUS
840,126954,LONGBILL SPEARFISH,TETRAPTURUS PFLUEGERI
841,101173,LAMPETRA JAPONICA,LETHENTERON CAMTSCHATICUM
842,590494,LAMOTTEI,LAMPETRA LAMOTTENII
843,281198,DWARF HERRING,JENKINSIA LAMPROTAENIA
844,159190,"BATFISH,SPINY",HALIEUTICHTHYS ACULEATUS
845,127104,EELPOUT,LYCODES EUDIPLEUROSTICTUS
846,159343,BLACKFIN TUNA,THUNNUS ATLANTICUS
847,127341,,EUSTOMIAS BRAUERI
848,127344,,EUSTOMIAS LONGIBARBA
849,158730,,EUSTOMIAS SILVESCENS
850,158869,,SCOPELOSAURUS MAULI
851,154298,,CARASSIUS AURATUS
852,567541,,CHROSOMUS EOS
853,1020838,,CHROSOMUS NEOGAEUS
854,567529,"CHUB,LAKE",COUESIUS PLUMBEUS
855,151423,,MICRODESMIDAE
856,159989,NOTEMIGOMUS,NOTEMIGONUS CRYSOLEUCAS
857,127349,,EUSTOMIAS SIMPLEX
858,127367,,PACHYSTOMIAS MICRODON
859,126214,,MELANOSTOMIAS
860,125816,,BOLINICHTHYS
861,125823,,HYGOPHUM
862,275895,,DICROLENE INTRONIGER
863,158862,,BATHYPTEROIS QUADRIFILIS
865,126638,,ALDROVANDIA PHALACRA
866,159432,SPOTTED TINSELFISH,XENOLEPIDICHTHYS DALGLEISHI
867,126542,,GIGANTACTIS VANHOEFFENI
868,159529,SEASNAIL,PARALIPARIS CALIDUS
869,159531,SEASNAIL,PARALIPARIS GARMANI
870,158765,AGASSIZI,MONOMITOPUS AGASSIZII
871,127279,,SCOPELOGADUS MIZOLEPIS
872,127362,,MELANOSTOMIAS MELANOPOGON
873,159234,,RYPTICUS
874,127355,,LEPTOSTOMIAS GLADIATOR
875,127322,,ASTRONESTHES GEMMIFER
876,158750,,STEMONOSUDIS INTERMEDIA
877,126865,LONGNOSE ESCOLAR,NESIARCHUS NASUTUS
878,125967,,EPIGONUS
879,159354,"GROUPER,RED",EPINEPHELUS MORIO
880,127193,"HOOKEAR SCULPIN,ATL.",ARTEDIELLUS ATLANTICUS
881,1525495,MYCTOPHUM OBTUSIROSTRE,DASYSCOPELUS OBTUSIROSTRIS
882,126613,,LAMPANYCTUS CUPRARIUS
883,398363,GONOSTOMA BATHYPHILUM,SIGMOPS BATHYPHILUS
884,127366,CAPERSIS,NEONESTHES CAPENSIS
885,127373,,RHADINESTHES DECIMUS
886,126529,,ZU CRISTATUS
888,126858,,EPIGONUS TELESCOPUS
889,126749,,SEARSIA KOEFOEDI
890,157877,,AMIA CALVA
891,10310,,LAMPRIFORMES
892,125483,RIBBONFISHES; REPLACES TRACHIPTEROIDEI,TRACHIPTERIDAE
894,127315,,STERNOPTYX PSEUDOBSCURA
895,126707,,PHOTOSTYLUS PYCNOPTERUS
896,126700,,EINARA EDENTULA
897,159583,,SYNAGROPS
898,126786,,TARACTES ASPER
899,126068,,EPINEPHELUS
900,136976,SEALS,PHOCIDAE
901,159566,,ECTREPOSEBASTES IMUS
902,125492,,LINOPHRYNIDAE
903,272595,INCL LINOPHRYNE MACRODON; BREVIBARBIS,LINOPHRYNE MACRODON
904,126547,EDRIOLYCHNUS SCHMIDTI,HAPLOPHRYNE MOLLIS
906,126363,LONGIROSTRIS,UNCISUDIS LONGIROSTRA
907,126360,,PARALEPIS BREVIROSTRIS
908,127326,,ASTRONESTHES MICROPOGON
909,125956,,CHIASMODON
910,136975,,ODOBENIDAE
911,126528,,TRACHIPTERUS TRACHYPTERUS
912,158837,,ARGYROPELECUS SLADENI
913,126304,,AVOCETTINA INFANS
914,126739,,HOLTBYRNIA ANOMALA
915,126745,,NORMICHTHYS OPEROSUS
916,127332,CHIRONEMA,BATHOPHILUS PAWNEEI
917,274931,,MELAMPHAES LEPRUS
918,158846,,BATHOPHILUS LONGIPINNIS
920,148723,WHALES; ODONTOCEIT  WHALES,ODONTOCETI
921,137097,ATLANTIC PILOT WHALE; INCL GLOBICEPHALA MELAS; MELAENA,GLOBICEPHALA MELAS
922,343899,NORTH-BOTTLENOSE WHALE,HYPEROODON AMPULLATUS
923,127357,,LEPTOSTOMIAS LONGIBARBA
924,159523,SCOTIAN SNAILFISH,CAREPROCTUS RANULA
926,127030,,SCOMBROLABRAX HETEROLEPIS
927,126862,SNAKE MACKEREL,GEMPYLUS SERPENS
928,126196,,ARGYROPELECUS
929,127293,,GONOSTOMA ATLANTICUM
930,136980,DOLPHINS; ODONTOCEIT  DOLPHINS,DELPHINIDAE
931,137111,ATL BOTTLENOSED DOLPHIN,TURSIOPS TRUNCATUS
932,137101,WHITE BEAKED DOLPHIN,LAGENORHYNCHUS ALBIROSTRIS
933,1571853,ATL WHITE-SIDED DOLPHIN; LAGENORHYNCHUS,LEUCOPLEURUS ACUTUS
934,126218,,PHOTOSTOMIAS
935,281518,DIPLOPHOS,MANDUCUS MADERENSIS
936,126559,,CHAENOPHRYNE DRACO
937,126358,,MACROPARALEPIS NIGRA
938,159836,,EVOXYMETOPON TAENIATUS
939,126606,,LAMPADENA ANOMALA
940,159067,BEARDED BROTULA,BROTULA BARBATA
941,127353,,GRAMMATOSTOMIAS FLAGELLIBARBA
942,127300,,POLYMETME CORYTHAEOLA
943,127365,,MELANOSTOMIAS VALDIVIAE
944,367285,PERMIT,TRACHINOTUS FALCATUS
945,148378,,PHORONIDAE
946,126088,BLENNIES,LUMPENUS
947,105807,LAURUSSONI,APRISTURUS LAURUSSONII
948,158843,"DRAGONFISH,SCALED;  RICHARDSONI?",ASTRONESTHES RICHARDSONI
949,126204,"DRAGONFISH,BIGHEAD",BOROSTOMIAS
950,158771,POLKA-DOT CUSK-EEL; OMOSTIGMUM,OTOPHIDIUM OMOSTIGMA
951,1517490,RUFFS; STROMATEOIDEI,SCOMBRIFORMES
952,154737,BROTULIDS,BROTULINAE
953,125504,CARAPID,CARAPIDAE
954,127295,ANGLEMOUTH,GONOSTOMA DENUDATUM
955,126557,,MELANOCETUS MURRAYI
956,127363,,MELANOSTOMIAS MELANOPS
957,127368,,PHOTONECTES BRAUERI
958,125927,,TARACTES
960,125936,,CARANX
961,125907,TUBE SHOUDERS; SEARSIID,SEARSIA
962,159201,,DANAPHRYNE NIGRIFILIS
963,126710,SMOOTHHEAD,ROULEINA MADERENSIS
964,158728,,EUSTOMIAS POLYASTER
965,105793,BALCKTIP SHARK,CARCHARHINUS LIMBATUS
966,154228,"DRAGONFISHES,BIGHEAD; ASTRONESTHIDAE",ASTRONESTHINAE
967,158552,"SKATE,ROSETTE; RAJA",LEUCORAJA GARMANI
968,125507,SMOOTHHEADS,ALEPOCEPHALIDAE
969,271564,FRECKLED SKATE; RAJA,LEUCORAJA LENTIGINOSA
970,126208,,EUSTOMIAS
971,125529,SWALLOWERS,CHIASMODONTIDAE
972,158761,,LEPOPHIDIUM
973,275060,,EUSTOMIAS ACINOSUS
974,274926,,MELAMPHAES EULEPIS
975,127267,,MELAMPHAES LONGIVELIS
976,159328,,MELAMPHAES POLYLEPIS
977,158898,,LAMPANYCTUS TENUIFORMIS
