"SCI_NAME","COMM","CODE"
"POLYPLACOPHORA","CHITONS",4700
"PONTASTER",NA,6133
"PONTOPHILUS NORVEGICUS",NA,2415
"PORANIA (PORANIA) PULVILLUS","PULVILIS",6102
"PORANIOMORPHA (PORANIOMORPHA) HISPIDA",NA,6129
"PORIFERA","SPONGES",8600
"PORTUNIDAE",NA,2515
"POTAMILLA NEGLECTA","FAN WORM",3147
"PRIMNOA RESEDAEFORMIS","SEA CORN",8322
"PRIONOTUS CAROLINUS","NORTHERN,COMMON SEA ROBIN",330
"PSEUDARCHASTER PARELII",NA,8346
"PSEUDARCHASTER",NA,6116
"PSEUDOPLEURONECTES AMERICANUS","WINTER FLOUNDER",43
"PSILASTER ANDROMEDA",NA,8347
"PSOLUS FABRICII","SCARLETT PSOLUS",6713
"PSOLUS PHANTAPUS",NA,6715
"PSOLUS",NA,6710
"PTERASTER MILITARIS",NA,6125
"PTERASTER PULVILLUS",NA,6126
"PTEROTRACHEOIDEA","SEA SNAILS,SEA BUTTERFLIES, PTEROPODA; HETEROPODA",3600
"PTILELLA GRANDIS","PENNATULA  BOREALIS",8360
"PUFFINUS GRAVIS","GREATER SHEARWATER",9488
"PYCNOGONIDA","SEA SPIDER",5100
"PYCNOGONIDAE",NA,5101
"PYCNOGONUM LITORALE","ANEMONE SEA SPIDER; LITTORALE",5102
"PYROTEUTHIS",NA,4560
"RADICIPES GRACILIS",NA,8330
"RAJELLA FYLLAE","ROUND SKATE; TERES; ROUND SKATE; RAJELLA FYLLAE",207
"RAJIDAE","SKATES",211
"RAJIFORMES","SKATES AND RAYS",219
"REINHARDTIUS HIPPOGLOSSOIDES","TURBOT,GREENLAND HALIBUT",31
"RHACHOTROPIS ACULEATA",NA,2848
"RHIZAXINELLA",NA,8356
"RHODOPHYTA","RED SEAWEEDS; RHODOPHYCEAE",9304
"ROBUSTOSERGIA ROBUSTA","SERGIA",1283
"ROSSIA","BOBTAILS  ROSSIA",7723
"SABELLIDAE",NA,3138
"SABINEA SARSII","SARSI",2419
"SABINEA SEPTEMCARINATA",NA,2421
"SABINEA",NA,2420
"SACCHARINA LONGICRURIS","LASAGNA KELP; LAMINARIA",9321
"SACCORHIZA DERMATODEA","PIGSKIN KELP",9324
"SALMO SALAR","SALMON ATLANTIC",65
"SALPIDAE",NA,1840
"SCAPHANDER PUNCTOSTRIATUS","GIANT CANOE BUBBLE",4431
"SCLERASTERIAS TANNERI",NA,6106
"SCLEROCRANGON BOREAS",NA,2414
"SCOMBER SCOMBRUS","MACKEREL ATLANTIC",70
"SCOMBERESOX SAURUS","ATLANTIC SAURY,NEEDLEFISH",720
"SCOPHTHALMUS AQUOSUS","BRILL/WINDOWPANE",143
"SCORPAENIDAE","SCORPIONFISHES",280
"SCYPHOZOA","JELLYFISHES",8500
"SEBASTES","REDFISH UNSEPARATED",23
"SELACHII","INCL SHARK & CHONDRICHTHYES; SHARK",592
"SELAR CRUMENOPHTHALMUS","BIGEYE SCAD",89
"SELENE SETAPINNIS","ATLANTIC MOONFISH; INCL SELENE SETAPINNIS; VOMER",94
"SEMIROSSIA TENERA",NA,4522
"SEPIOLIDAE","BOBTAIL SQUID; SEPIOLODAE",4536
"SERGIA",NA,8354
"SERIOLA DUMERILI","GREATER AMBERJACK",92
"SERIOLA ZONATA","BANDED RUDDERFISH",74
"SERRIPES GROENLANDICUS","GREENLAND COCKLE",4343
"SERRIVOMER BEANII","STOUT SAWPALATE; BEANI",613
"SERTULARELLA POLYZONIAS","HYDROZOA; SERTULARIA",8341
"SERTULARIA","GARLAND HYDROIDS",8405
"SETARCHES GUENTHERI",NA,728
"SIGMOPS BATHYPHILUS","GONOSTOMA BATHYPHILUM",883
"SIGMOPS ELONGATUS","LONGTOOTH ANGLEMOUTH; GONOSTOMA ELONGATUM",155
"SILIQUA","RAZOR CLAM",4315
"SIPHONOPHORAE","SIPHONOPHORA",8700
"SIPUNCULA","GEPHYREA ",3300
"SOLASTER ENDECA","PURPLE SUNSTAR",6121
"SOLASTER SYRTENSIS",NA,6149
"SOLASTER",NA,6122
"SPHOEROIDES MACULATUS","NORTHERN PUFFER",746
"SPHOEROIDES","PUFFER; INCL HOLOCANTHUS SP.",827
"SPINOLAMBRUS POURTALESII",NA,2547
"SPIRONTOCARIS LILJEBORGII",NA,2313
"SPIRONTOCARIS PHIPPSII",NA,2315
"SPIRONTOCARIS SPINUS",NA,2316
"SPIRONTOCARIS",NA,2310
"SPISULA SOLIDISSIMA","BAR,SURF CLAM",4317
"SQUALUS ACANTHIAS","SPINY DOGFISH",220
"STAUROZOA",NA,8550
"STEGOCEPHALUS INFLATUS",NA,2799
"STENOTOMUS CHRYSOPS","SCUP",102
"STEPHANASTERIAS ALBULA",NA,6107
"STEREODERMA UNISEMITA","INCL THYONE UNISEMITA; THYONE",6712
"STERNOPTYCHIDAE","UNIDENTIFIED HATCHETFISH",741
"STICHAEIDAE","PRICKLEBACKS",639
"STICHAEUS PUNCTATUS","ARCTIC SHANNY",624
"STOMIAS BOA","BOA DRAGONFISH",159
"STOMIAS LONGIBARBATUS","MACROSTOMIAS",395
"STOMIIDAE","STOMIATOID UNIDENTIFIED",151
"STOMPHIA COCCINEA",NA,8313
"STRONGYLOCENTROTUS DROEBACHIENSIS","SEA URCHIN  GREEN",6411
"STRONGYLOCENTROTUS","SEA URCHINS",6400
"SUBERITES FICUS","FIG SPONGE",8613
"SYMPHURUS DIOMEDEANUS","TONGUE FISH",816
"SYMPHURUS","TONGUEFISH",805
"SYNAGROPS BELLUS","BLACKMOUTH BASS; BELLA",576
"SYNAPHOBRANCHUS KAUPII","GRAY'S CUTTHROAT EEL; KAUPI",602
"SYSCENUS INFELIX",NA,8352
"TANAIDIDAE","TANAIDAE",2940
"TAUTOGOLABRUS ADSPERSUS","CUNNER",122
"TENTORIUM SEMISUBERITES",NA,8612
"TEREBRATULINA SEPTENTRIONALIS","NORTHERN LAMP SHELL",7719
"TEREBRATULINA",NA,1932
"TETRONARCE NOBILIANA","ATLANTIC TORPEDO; TORPEDO",216
"THALASSINIDAE","MUD SHRIMP",2565
"THEMISTO","PARATHEMISTO",2809
"THYONELLA PERVICAX","SEA CUCUMBER; AFF.",8345
"THYSANOESSA RASCHII",NA,2621
"TRACHYRINCUS MURRAYI","ROUGHNOSE GRENADIER",412
"TREMASTER MIRABILIS",NA,1279
"TRIGLOPS MURRAYI","MAILED SCULPIN",304
"TRIGLOPS NYBELINI","NYBELIN SCULPIN",305
"TRIGLOPS PINGELII","RIBBED SCULPIN; PINGELI",317
"TRIGLOPS","SCULPIN",309
"TROCHIDAE","TOP SHELLS",4255
"TUNICATA",NA,1810
"TYPHLONIDA VALIDA","MUNIDA",2556
"ULVA","SEA LETTUCE; INCL ENTEROMORPHA SP.",9302
"ULVARIA SUBBIFURCATA","RADIATED SHANNY",625
"URASTERIAS LINCKI",NA,1280
"UROPHYCIS CHUSS","SQUIRREL OR RED HAKE",13
"UROPHYCIS REGIA","SPOTTED HAKE",111
"UROPHYCIS TENUIS","WHITE HAKE",12
"UROPHYCIS","HAKE",193
"URTICINA FELINA","TEALIA",8315
"VAZELLA POURTALESII","RUSSIAN HATS; POURTALESI",8601
"VELUTINA VELUTINA","VELVET SHELL; LAEVIGATA",4252
"VENEFICA PROCERA",NA,1025
"XENOLEPIDICHTHYS DALGLEISHI","SPOTTED TINSELFISH",866
"XIPHIAS GLADIUS","SWORDFISH",72
"YOLDIA SAPOTILLA",NA,4356
"YOLDIA",NA,4354
"ZENOPSIS CONCHIFER","AMERICAN JOHN DORY; OCELLATA",704
"ZOARCES AMERICANUS","OCEAN POUT",640
"ZOSTERA SUBG. ZOSTERA MARINA","EEL GRASS",9305
